standard_whisky_name,channel,price,bundle_note,source_url,dailyshot_avg_price,onnuri_mentioned,overseas_url,checked_at,store_branch
Ballantine's 10 Year Old,,,,,48500,False,,2026-09-05 10:01:10,
Ballantine's 17 Year Old,,,,,132909,False,,2026-09-05 10:11:15,
Ballantine's 21 Year Old,,,,,227540,False,,2026-09-05 10:21:19,
Ballantine's Single Malt Glenburgie 12 Year Old,,,,,89316,False,,2026-09-05 10:31:23,
Ballantine's Single Malt Glenburgie 15 Year Old,,,,,113507,False,,2026-09-05 10:41:28,
Ballantine's Single Malt Glenburgie 18 Year Old,,,,,207738,False,,2026-09-05 10:51:32,
Ballantines 30,community,294000,,https://cafe.naver.com/whiskycognac/929094,568596,False,,2026-09-05 11:01:53,
Balvenie 16 Year Old French Oak,,,,,299250,False,,2026-09-05 11:11:58,
Balvenie Caribbean Cask 14 Year Old,,,,,178833,False,,2026-09-05 11:22:02,
Balvenie DoubleWood 12 Year Old,community,75000,,https://cafe.naver.com/whiskycognac/928971,134000,False,,2026-09-05 11:32:32,
Black & White,,,,,11900,False,,2026-09-05 11:42:37,
Black Circle MAX,,,,,,False,,2026-09-05 11:52:41,
Bunnahabhain 12 Year Old,,,,,86000,False,,2026-09-05 12:02:48,
Chivas Regal 12 Year Old,이마트,59800,,https://cafe.naver.com/whiskycognac/928781,51371,False,,2026-09-05 12:13:03,
Dewar's 12 Year Old,,,,,51075,False,,2026-09-05 12:23:08,
Dewar's Double Agent 16 Year Old,,,,,,False,,2026-09-05 12:33:13,
Glen Grant 15 Year Old Batch Strength,community,81400,,https://cafe.naver.com/whiskycognac/928291,128825,False,,2026-09-05 12:43:28,
Glenallachie 10 CS,,,,,295635,False,,2026-09-05 12:53:49,
Glenallachie 12,,,,,147961,False,,2026-09-05 13:03:54,
Glenallachie 15,트레이더스,159800,,https://cafe.naver.com/whiskycognac/928953,173391,False,,2026-09-05 13:15:44,일산
Glendronach 12,,,,,94580,False,,2026-09-05 13:25:48,
Glendronach 15,,,,,209600,False,,2026-09-05 13:36:02,
Glendronach House Editions The Parisian Room,,,,,,False,,2026-09-05 13:46:06,
Glendronach House Editions The Sevillian Room,,,,,,False,,2026-09-05 13:56:10,
Glendronach House Editions The Venetian Room,,,,,,False,,2026-09-05 14:06:21,
Glendronach Ode to the Dark,,,,,148000,False,,2026-09-05 14:16:24,
Glenfiddich 12 Year Old,,,,,85250,False,,2026-09-05 14:26:29,
Glenfiddich 15 Year Old,,,,,126557,False,,2026-09-05 14:36:44,
