standard_whisky_name,korean_name
Balvenie DoubleWood 12 Year Old,발베니 더블우드 12년
Balvenie (Unspecified),발베니
Balvenie Caribbean Cask 14 Year Old,발베니 캐리비안캐스크 14년
Balvenie 16 Year Old French Oak,발베니 프렌치오크 16년
Balvenie PortWood 21 Year Old,발베니 포트우드 21년
Balvenie PX Cask 18 Year Old,발베니 PX캐스크 18년
Miraon Almost There,미라온 올모스트 데어
Kavalan Single Malt Whisky,카발란 싱글몰트
Kavalan (Unspecified),카발란
Glendronach 12,글렌드로낙 12년
Glendronach 15,글렌드로낙 15년
Glendronach 18,글렌드로낙 18년
Glendronach 21 Parliament,글렌드로낙 21년 팔러먼트
Glendronach (Unspecified),글렌드로낙
Glendronach Ode to the Dark,글렌드로낙 오드투더다크
Wild Turkey 101,와일드터키 101
Johnnie Walker Blue Label,조니워커 블루라벨
Johnnie Walker Black Label,조니워커 블랙라벨
Laphroaig 10,라프로익 10년
Laphroaig 15,라프로익 15년
Laphroaig 25,라프로익 25년
Laphroaig (Unspecified),라프로익
Ardbeg 10,아드벡 10년
Ardbeg 10 Cask Strength,아드벡 10년 캐스크스트렝스
Ardbeg Uigeadail,아드벡 우가달
Ardbeg Corryvreckan,아드벡 코리브레칸
Ardbeg Wee Beastie,아드벡 위비스티
Ardbeg (Unspecified),아드벡
Glenallachie 12,글렌알라키 12년
Glenallachie 15,글렌알라키 15년
Glenallachie 10 CS,글렌알라키 10년 캐스크스트렝스
Glenallachie 19 Solera Cask,글렌알라키 19년 솔레라캐스크
Glenallachie (Unspecified),글렌알라키
Glenfarclas 25 Year Old,글렌파클라스 25년
Glenfarclas (Unspecified),글렌파클라스
Springbank (Unspecified),스프링뱅크
Springbank 15 Year Old,스프링뱅크 15년
Tamnavulin,탐나불린
Bruichladdich (Unspecified),브룩라디
Glenmorangie (Unspecified),글렌모렌지
Macallan 12 Sherry Oak,맥캘란 12년 셰리오크
Macallan 12 Year Old (Unspecified),맥캘란 12년
Glenfiddich 12 Year Old,글렌피딕 12년
Yamazaki Distiller's Reserve,야마자키 NAS
Yamazaki,야마자키
Hibiki Japanese Harmony,히비키 재패니즈하모니
1792 Full Proof Single Barrel Stopper Package,1792 풀프루프 싱글배럴 스토퍼 패키지
Aberfeldy 12 Year Old,애버펠디 12년
Aberfeldy 16 Year Old,애버펠디 16년
Aberlour (Unspecified),아벨라워
Aberlour 12 Year Old,아벨라워 12년
Aberlour 12 Year Old Double Cask Matured,아벨라워 12년 더블캐스크
Aberlour 14 Year Old,아벨라워 14년
Aberlour 16 Year Old,아벨라워 16년
Aberlour A'bunadh,아벨라워 아부나흐
Aberlour A'bunadh Batch 74,아벨라워 아부나흐 배치 74
Akkeshi (Unspecified),앗케시
Almost There (Unspecified),올모스트 데어
Amahagan World Malt (Unspecified),아마하간 월드 몰트
Angel's Envy Bourbon,엔젤스 엔비 버번
Angel's Envy 10 Year Old Cask Strength,엔젤스 엔비 10년 캐스크스트렝스
Angel's Envy Port Cask Finish,엔젤스 엔비 포트캐스크
Ardnamurchan (Unspecified),아드나머칸
Arran (Unspecified),아란
Arran 10 Year Old,아란 10년
Arran Machrie Moor Cask Strength,아란 마크리 무어 캐스크스트렝스
Arran Quarter Cask,아란 쿼터캐스크
Arran Sauternes Cask Finish,아란 소테른 캐스크피니시
Arran Sherry Cask,아란 셰리캐스크
Auchentoshan (Unspecified),오켄토션
Auchentoshan American Oak,오켄토션 아메리칸 오크
Aultmore (Unspecified),올트모어
Aultmore 12 Year Old,올트모어 12년
Aultmore 18 Year Old,올트모어 18년
Aultmore 25 Year Old,올트모어 25년
Ballantine's 10 Year Old,발렌타인 10년
Ballantine's 15 Year Old,발렌타인 15년
Ballantine's 17 Year Old,발렌타인 17년
Ballantine's 21 Year Old,발렌타인 21년
Ballantine's 23 Year Old,발렌타인 23년
Ballantine's 30 Year Old,발렌타인 30년
Ballantine's Master's,발렌타인 마스터즈
Ballantine's Single Malt Glenburgie 12 Year Old,발렌타인 싱글몰트 글렌버기 12년
Ballantine's Single Malt Glenburgie 15 Year Old,발렌타인 싱글몰트 글렌버기 15년
Ballantine's Single Malt Glenburgie 18 Year Old,발렌타인 싱글몰트 글렌버기 18년
Ballantines (Unspecified),발렌타인
Ballantines 30,발렌타인 30년
Balvenie 12 Year Old The Sweet Toast of American Oak,발베니 12년 아메리칸 오크 스위트 토스트
Balvenie 13 Year Old Moscatel Cask Taiwan Exclusive,발베니 13년 모스카텔 캐스크 대만 익스클루시브
Balvenie 15,발베니 15년
Balvenie 18,발베니 18년
Balvenie 1988,발베니 1988
Balvenie Daniel Arsham,발베니 다니엘 아샴
Balvenie Home Malt 12 Year Old,발베니 홈 몰트 12년
Balvenie 12 Year Old Golden Cask,발베니 12년 골든 캐스크
Balvenie 14 Year Old Golden Cask,발베니 14년 골든 캐스크
Balvenie Madeira Cask 15 Year Old,발베니 마데이라 캐스크 15년
Balvenie Single Barrel (Unspecified),발베니 싱글 배럴
Balvenie Single Barrel 12 Year Old,발베니 싱글 배럴 12년
Balvenie TUN 1509 Batch 6,발베니 턴 1509 배치 6
Balvenie Tasting Class,발베니 테이스팅 클래스
Balvenie Teaspooned (Unspecified),발베니 티스푼드
Balvenie The Creation of a Classic,발베니 크리에이션 오브 어 클래식
Bankhall Single Malt,뱅크홀 싱글 몰트
Basil Hayden's (Unspecified),배질 헤이든
