standard_whisky_name,image_url,source_url,license
Glenfiddich 12 Year Old,/images/whisky-thumbs/glenfiddich-12-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/05028049-f070-4779-aa52-9eabc5256dc3.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Glenfiddich 15 Year Old,/images/whisky-thumbs/glenfiddich-15-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/7de4fb45-8a7c-4bf3-a0f3-8123b59a9645.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Yamazaki 12 Year Old,/images/whisky-thumbs/yamazaki-12-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/26a7d93b-ede3-4827-9e1c-d4872d781b6e.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Royal Salute 21,/images/whisky-thumbs/royal-salute-21.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/01069d3f-7f38-4ba4-9169-f8890fe52758.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
The Glenlivet 12 Year Old,/images/whisky-thumbs/the-glenlivet.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/2bb49f73-165c-4558-abf9-e48b71094052.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Johnnie Walker Blue Label,/images/whisky-thumbs/johnnie-walker-blue-label.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/33324439-c42b-428c-bf9f-39ebbcd6f781.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Johnnie Walker Black Label,/images/whisky-thumbs/johnnie-walker-black-label.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/96860755-7531-4a41-93c8-4f9711573ab9.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Balvenie DoubleWood 12 Year Old,/images/whisky-thumbs/balvenie-doublewood-12-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/daaf7fc3-0abb-4aea-9001-c2fa450e2fd5.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Glenallachie 15,/images/whisky-thumbs/glenallachie-15.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/6a64ad73-c93e-4fc9-bf5a-157928312b1c.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Glendronach 12,/images/whisky-thumbs/glendronach-12.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/df904bab-f640-4ccf-9e6f-6e88f9bf0786.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
The Singleton of Dufftown 15 Year Old,/images/whisky-thumbs/the-singleton-of-dufftown-15-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/755aa490-99ca-40ce-9563-43ca49acbfc9.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Macallan 12 Sherry Oak,/images/whisky-thumbs/macallan-12-sherry-oak.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/c2f0bd6b-9bef-4f62-8eed-c1de400aa3c1.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Ballantine's 21 Year Old,/images/whisky-thumbs/ballantine-s-21-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/cfadde84-7054-473e-81e2-d9e39fbb9095.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Black Circle MAX,/images/whisky-thumbs/black-circle-max.png,https://www.mt.co.kr/living/2026/07/13/2026071315245494881,머니투데이 보도사진(세븐일레븐 제공) 크롭 후 배경 제거
Lagavulin 16 Year Old,/images/whisky-thumbs/lagavulin-16-year-old-v2.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/1fe14d73-35f1-480f-8cb5-6234f814f643.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Kavalan Solist Vinho Barrique Single Cask Strength,/images/whisky-thumbs/kavalan-solist-vinho-barrique-v2.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/400c9b22-a593-4692-a147-ef036c2d1062.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Glenfiddich 18 Year Old,/images/whisky-thumbs/glenfiddich-18-year-old-v1.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/ddc0e5b6-b7dc-4cc0-a46f-c12808e9e5a9.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Johnnie Walker Double Black,/images/whisky-thumbs/johnnie-walker-double-black.png,https://commons.wikimedia.org/wiki/File:JW_Double_Black.jpg,Wikimedia Commons (배경 제거 후 자체 호스팅)
Suntory Kakubin,/images/whisky-thumbs/suntory-kakubin.png,https://commons.wikimedia.org/wiki/File:Suntory_Kakubin.jpg,"Wikimedia Commons (구형 라벨 병 - 육각 각병 형태는 동일, 배경 제거 후 자체 호스팅)"
Miraon Almost There,/images/whisky-thumbs/miraon-almost-there-v2.png,https://smartstore.naver.com (사용자 제공 스크린샷),사용자가 직접 전달한 제품 사진 - 스튜디오 컷 재교체 (배경 제거 후 자체 호스팅)
Chivas Regal 12 Year Old,/images/whisky-thumbs/chivas-regal-12-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/de176965-f1af-4b62-acb4-33c7ed66dabf.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Balvenie (Unspecified),/images/whisky-thumbs/balvenie-doublewood-12-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/daaf7fc3-0abb-4aea-9001-c2fa450e2fd5.webp,데일리샷 제품 리스팅 이미지 - 발베니 대표 제품(더블우드 12년) 사진으로 대체 (배경 제거 후 자체 호스팅)
Glenfarclas 25 Year Old,/images/whisky-thumbs/glenfarclas-25-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/443eab66-dbd3-41e3-a889-c5e3fc608115.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Glenmorangie (Unspecified),/images/whisky-thumbs/glenmorangie-unspecified.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/1a57a190-466f-483b-a30f-0ca521c9d2f7.webp,데일리샷 제품 리스팅 이미지 - 글렌모렌지 대표 제품(오리지널 10년) 사진으로 대체 (배경 제거 후 자체 호스팅)
Hibiki (Unspecified),/images/whisky-thumbs/hibiki-unspecified.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/783c624c-2e4c-414f-945e-2db22507feb2.webp,데일리샷 제품 리스팅 이미지 - 히비키 대표 제품(하모니) 사진으로 대체 (배경 제거 후 자체 호스팅)
