card_id,display_name,image_url,sweetness,smoky,fruity,spicy,body,abv_pref,cask_lean,rye_pref,menthol,source_url,license
spicy_anju,떡볶이,/images/food/spicy-anju-v2.jpg,2,3,1,5,3,46,0,0,1,https://commons.wikimedia.org/wiki/File:Korean.snacks-Tteokbokki-08.jpg,CC BY-SA
smoky_grilled,훈제·구운 고기,/images/food/smoky-grilled.jpg,2,5,1,2,4,46,0,0,1,https://www.pexels.com/photo/grilled-meat-1233101/,Pexels License
cheese_nuts,치즈·견과류,/images/food/cheese-nuts.jpg,3,1,2,1,4,43,0,0,1,https://www.pexels.com/photo/close-up-shot-of-food-platter-8775043/,Pexels License
chocolate_dessert,초콜릿·디저트,/images/food/chocolate-dessert.jpg,5,1,3,1,3,40,0,0,1,https://www.pexels.com/photo/yummy-chocolate-cake-served-with-blackberry-4329844/,Pexels License
green_grape,청포도,/images/food/green-grape.jpg,3,1,4,1,2,42,0,0,1,https://www.pexels.com/photo/green-grapes-225229/,Pexels License
red_grape,적포도,/images/food/red-grape.jpg,3,1,5,1,3,44,-1,0,1,https://www.pexels.com/photo/grapes-45209/,Pexels License
cherry,체리,/images/food/cherry.jpg,4,1,5,1,2,43,-1,0,1,https://www.pexels.com/photo/close-up-photography-of-a-red-cherry-fruit-162689/,Pexels License
strawberry,딸기,/images/food/strawberry-v2.jpg,4,1,4,1,2,42,1,0,1,https://www.pexels.com/photo/photo-of-strawberries-4038780/,Pexels License
peach,복숭아,/images/food/peach.jpg,3,1,5,1,2,43,1,0,1,https://www.pexels.com/photo/fresh-juicy-pink-peach-on-pink-surface-6157041/,Pexels License
soju,소주,/images/food/soju-v3.jpg,2,1,1,3,2,48,0,0,1,https://www.pexels.com/photo/korean-soju-bottle-and-shot-glass-on-wooden-table-31203777/,Pexels License
soju_original,소주 오리지널,/images/food/soju-original-v3.jpg,1,1,1,4,2,52,0,0,1,https://www.pexels.com/photo/bottle-of-soju-on-table-in-room-4305074/,Pexels License
beer,맥주,/images/food/beer.jpg,2,1,2,1,2,40,0,0,1,https://www.pexels.com/photo/close-up-shot-of-a-glass-of-beer-6223373/,Pexels License
hongeo,홍어삼합,/images/food/hongeo.jpg,1,2,1,3,4,48,-1,0,1,https://commons.wikimedia.org/wiki/File:Korean_cuisine-Samhap-01.jpg,CC BY 2.0 (Wikimedia Commons)
greens,쌈채소·나물,/images/food/greens.jpg,1,1,2,3,1,42,0,1,2,https://www.pexels.com/photo/mixed-vegetable-salad-1332275/,Pexels License
espresso,강배전 에스프레소,/images/food/espresso.jpg,1,3,1,1,4,44,0,0,1,https://www.pexels.com/photo/close-up-of-a-shot-of-espresso-9050518/,Pexels License
tiramisu,티라미수,/images/food/tiramisu.jpg,4,1,1,1,3,42,-1,0,1,https://www.pexels.com/photo/close-up-shot-of-tiramisu-cake-14766327/,Pexels License
pretzel,프레첼,/images/food/pretzel.jpg,1,1,1,1,2,42,1,0,1,https://www.pexels.com/photo/close-up-of-a-pretzel-18529797/,Pexels License
