standard_whisky_name,note,added_at
Balvenie 16 Year Old French Oak,트레이더스 리델 잔세트 상시 판매,2026-09-04
Ballantine's Single Malt Glenburgie 12 Year Old,트레이더스 등 매장 상시 판매,2026-09-04
Ballantine's Single Malt Glenburgie 15 Year Old,트레이더스 등 매장 상시 판매,2026-09-04
Ballantine's Single Malt Glenburgie 18 Year Old,트레이더스 등 매장 상시 판매,2026-09-04
Glendronach House Editions The Venetian Room,공항 면세점(제주 등) 트래블리테일 전용 - 2026년 7월 출시,2026-09-04
Glendronach House Editions The Parisian Room,공항 면세점(제주 등) 트래블리테일 전용 - 2026년 7월 출시,2026-09-04
Glendronach House Editions The Sevillian Room,공항 면세점(제주 등) 트래블리테일 전용 - 2026년 7월 출시,2026-09-04
Royal Brackla 12 Year Old,면세점/매장에서 꾸준히 보이는데 온라인 언급량 랭킹엔 잘 안 잡힘,2026-09-04
Bunnahabhain 12 Year Old,면세점/매장에서 꾸준히 보이는데 온라인 언급량 랭킹엔 잘 안 잡힘,2026-09-04
Glendronach Ode to the Dark,200주년 마스터스 앤솔로지 PX 셰리 캐스크 한정판 - 인기 많을 것으로 예상,2026-09-04
Dewar's Double Agent 16 Year Old,사용자가 실제 소장 중인 병 확인(Double Cask Series Release #001) - 온라인 언급량은 적지만 실존 제품,2026-09-04
Springbank 10 Year Old,캠벨타운 매니아층 인지도 높은데 랭킹 TOP15엔 잘 안 잡힘 - 실제 딜/언급 데이터 있음,2026-09-06
Springbank 15 Year Old,캠벨타운 매니아층 인지도 높은데 랭킹 TOP15엔 잘 안 잡힘 - 실제 딜/언급 데이터 있음,2026-09-06
Springbank 18 Year Old,캠벨타운 매니아층 인지도 높은데 랭킹 TOP15엔 잘 안 잡힘 - 실제 딜/언급 데이터 있음,2026-09-06
Springbank 12 Year Old Cask Strength Batch 20,캠벨타운 매니아층 인지도 높은데 랭킹 TOP15엔 잘 안 잡힘 - 실제 언급 데이터 있음,2026-09-06
Kilkerran 8 Year Old Bourbon Cask Cask Strength,캠벨타운 매니아층 인지도 높은데 랭킹 TOP15엔 잘 안 잡힘 - 실제 딜 데이터 있음,2026-09-06
Kilkerran 8 Year Old Sherry Cask Cask Strength,캠벨타운 매니아층 인지도 높은데 랭킹 TOP15엔 잘 안 잡힘 - 실제 딜 데이터 있음,2026-09-06
Kilkerran 16 Year Old,캠벨타운 매니아층 인지도 높은데 랭킹 TOP15엔 잘 안 잡힘 - 실제 딜/언급 데이터 있음,2026-09-06
Hazelburn 10 Year Old,캠벨타운 매니아층 인지도 높은데 랭킹 TOP15엔 잘 안 잡힘 - 실제 딜 데이터 있음,2026-09-06
Hazelburn (Unspecified),캠벨타운 매니아층 인지도 높은데 랭킹 TOP15엔 잘 안 잡힘 - 실제 딜/언급 데이터 있음,2026-09-06
